stcofips,year,month,month_t,deviation
51157,2024,8,11,294292.6144573428
51157,2024,8,12,276127.00718433835
51159,2020,4,1,-24038.70893665697
51159,2020,4,2,-11284.029711820127
51159,2020,4,3,-9276.588768869697
51159,2020,4,4,-7746.847755016381
51159,2020,4,5,-17770.508044600807
51159,2020,4,6,-18014.022300442448
51159,2020,4,7,-20268.46169538822
51159,2020,4,8,-21668.80326062953
51159,2020,4,9,-28993.729684160673
51159,2020,4,10,-28664.647945010394
51159,2020,4,11,-37049.910053414555
51159,2020,4,12,-35271.65714017919
51159,2020,6,1,-9276.588768869697
51159,2020,6,2,-7746.847755016381
51159,2020,6,3,-17770.508044600807
51159,2020,6,4,-18014.022300442448
51159,2020,6,5,-20268.46169538822
51159,2020,6,6,-21668.80326062953
51159,2020,6,7,-28993.729684160673
51159,2020,6,8,-28664.647945010394
51159,2020,6,9,-37049.910053414555
51159,2020,6,10,-35271.65714017919
51159,2020,6,11,-25996.574897236656
51159,2020,6,12,-24673.937803761422
51159,2020,8,1,-17770.508044600807
51159,2020,8,2,-18014.022300442448
51159,2020,8,3,-20268.46169538822
51159,2020,8,4,-21668.80326062953
51159,2020,8,5,-28993.729684160673
51159,2020,8,6,-28664.647945010394
51159,2020,8,7,-37049.910053414555
51159,2020,8,8,-35271.65714017919
51159,2020,8,9,-25996.574897236656
51159,2020,8,10,-24673.937803761422
51159,2020,8,11,-15586.822320393607
51159,2020,8,12,-13875.987464947888
51159,2020,9,1,-18014.022300442448
51159,2020,9,2,-20268.46169538822
51159,2020,9,3,-21668.80326062953
51159,2020,9,4,-28993.729684160673
51159,2020,9,5,-28664.647945010394
51159,2020,9,6,-37049.910053414555
51159,2020,9,7,-35271.65714017919
51159,2020,9,8,-25996.574897236656
51159,2020,9,9,-24673.937803761422
51159,2020,9,10,-15586.822320393607
51159,2020,9,11,-13875.987464947888
51159,2020,9,12,-23452.69242252322
51159,2020,10,1,-20268.46169538822
51159,2020,10,2,-21668.80326062953
51159,2020,10,3,-28993.729684160673
51159,2020,10,4,-28664.647945010394
51159,2020,10,5,-37049.910053414555
51159,2020,10,6,-35271.65714017919
51159,2020,10,7,-25996.574897236656
51159,2020,10,8,-24673.937803761422
51159,2020,10,9,-15586.822320393607
51159,2020,10,10,-13875.987464947888
51159,2020,10,11,-23452.69242252322
51159,2020,10,12,-36790.49786889591
51159,2020,11,1,-21668.80326062953
51159,2020,11,2,-28993.729684160673
51159,2020,11,3,-28664.647945010394
51159,2020,11,4,-37049.910053414555
51159,2020,11,5,-35271.65714017919
51159,2020,11,6,-25996.574897236656
51159,2020,11,7,-24673.937803761422
51159,2020,11,8,-15586.822320393607
51159,2020,11,9,-13875.987464947888
51159,2020,11,10,-23452.69242252322
51159,2020,11,11,-36790.49786889591
51159,2020,11,12,-44472.244103152654
51159,2021,6,1,-15586.822320393607
51159,2021,6,2,-13875.987464947888
51159,2021,6,3,-23452.69242252322
51159,2021,6,4,-36790.49786889591
51159,2021,6,5,-44472.244103152654
51159,2021,6,6,-46782.047837602324
51159,2021,6,7,-47363.315240095515
51159,2021,6,8,-46983.493875901884
51159,2021,6,9,-42880.592397682136
51159,2021,6,10,-51165.225002538034
51159,2021,6,11,-48789.28772296989
51159,2021,6,12,-42359.951780870295
51159,2021,8,1,-23452.69242252322
51159,2021,8,2,-36790.49786889591
51159,2021,8,3,-44472.244103152654
51159,2021,8,4,-46782.047837602324
51159,2021,8,5,-47363.315240095515
51159,2021,8,6,-46983.493875901884
51159,2021,8,7,-42880.592397682136
51159,2021,8,8,-51165.225002538034
51159,2021,8,9,-48789.28772296989
51159,2021,8,10,-42359.951780870295
51159,2021,8,11,-32581.59384841821
51159,2021,8,12,-35687.501768180984
51159,2022,4,1,-48789.28772296989
51159,2022,4,2,-42359.951780870295
51159,2022,4,3,-32581.59384841821
51159,2022,4,4,-35687.501768180984
51159,2022,4,5,-41172.60614228225
51159,2022,4,6,-41491.4646240556
51159,2022,4,7,-42889.58848762876
51159,2022,4,8,-37531.21172297877
51159,2022,4,9,-48521.920521721826
51159,2022,4,10,-44475.084151216375
51159,2022,4,11,-44279.453048565774
51159,2022,4,12,-34410.8671190188
51159,2022,6,1,-32581.59384841821
51159,2022,6,2,-35687.501768180984
51159,2022,6,3,-41172.60614228225
51159,2022,6,4,-41491.4646240556
51159,2022,6,5,-42889.58848762876
51159,2022,6,6,-37531.21172297877
51159,2022,6,7,-48521.920521721826
51159,2022,6,8,-44475.084151216375
51159,2022,6,9,-44279.453048565774
51159,2022,6,10,-34410.8671190188
51159,2022,6,11,-45378.18940681359
51159,2022,6,12,-32792.54483663643
51159,2022,7,1,-35687.501768180984
51159,2022,7,2,-41172.60614228225
51159,2022,7,3,-41491.4646240556
51159,2022,7,4,-42889.58848762876
51159,2022,7,5,-37531.21172297877
51159,2022,7,6,-48521.920521721826
51159,2022,7,7,-44475.084151216375
51159,2022,7,8,-44279.453048565774
51159,2022,7,9,-34410.8671190188
51159,2022,7,10,-45378.18940681359
51159,2022,7,11,-32792.54483663643
51159,2022,7,12,-39670.69875807414
51159,2022,11,1,-37531.21172297877
51159,2022,11,2,-48521.920521721826
51159,2022,11,3,-44475.084151216375
51159,2022,11,4,-44279.453048565774
51159,2022,11,5,-34410.8671190188
51159,2022,11,6,-45378.18940681359
51159,2022,11,7,-32792.54483663643
51159,2022,11,8,-39670.69875807414
51159,2022,11,9,-41310.53738795663
51159,2022,11,10,-35486.891062856215
51159,2022,11,11,-43301.13611598822
51159,2022,11,12,-44409.20980739145
51159,2023,7,1,-41310.53738795663
51159,2023,7,2,-35486.891062856215
51159,2023,7,3,-43301.13611598822
51159,2023,7,4,-44409.20980739145
51159,2023,7,5,-38517.94394721018
51159,2023,7,6,-48086.19344559198
51159,2023,7,7,-44623.3974845426
51159,2023,7,8,-46329.32563511736
51159,2023,7,9,-44575.2122414585
51159,2023,7,10,-57939.7924027906
51159,2023,7,11,-39203.395654559165
51159,2023,7,12,-17001.44530573566
51159,2024,6,1,-17001.44530573566
51159,2024,6,2,-35669.21601317756
51159,2024,6,3,-41890.77907279009
51159,2024,6,4,-37786.235017857805
51159,2024,6,5,-45003.79242224715
51159,2024,6,6,-41262.98359957093
51159,2024,6,7,-43010.82271849681
51159,2024,6,8,-53255.77642222267
51159,2024,6,9,-40013.725868856214
51159,2024,6,10,-48345.414857137774
51159,2024,6,11,-29760.81109276865
51159,2024,6,12,-20590.33562669845
51161,2020,1,1,25739.689527466748
51161,2020,1,2,25149.486600167584
51161,2020,1,3,11888.253102068644
51161,2020,1,4,29807.10662319776
51161,2020,1,5,42603.1367215364
51161,2020,1,6,45130.5947717462
51161,2020,1,7,47435.2555668836
51161,2020,1,8,38420.36213818056
51161,2020,1,9,39541.05783182135
51161,2020,1,10,39045.67201719005
