target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
01089,2022,7,2,"47127,47127"
13253,2023,3,1,13037
42067,2023,7,1,42093
48185,2025,5,7,"48051,48225,48407,48225,48407,48455,48051"
13139,2021,4,3,"13227,13281,13281"
39111,2021,6,2,"39115,39115"
38099,2021,7,1,27135
31127,2022,4,1,20013
01003,2022,7,3,"01035,01013,01035"
13117,2022,6,8,"13111,13013,13157,13247,13011,13013,13137,13157"
28071,2020,6,2,"28009,28009"
17121,2021,7,1,17079
12087,2022,5,1,12051
47011,2023,7,4,"13123,13047,13047,13083"
54099,2025,3,5,"21063,21175,21071,21195,21195"
45037,2023,7,1,13163
48447,2023,9,3,"48077,48133,48133"
45051,2025,5,2,"37141,37141"
04017,2021,9,1,08033
13115,2023,5,6,"13123,13213,13313,13047,13083,13313"
45069,2021,5,2,"37179,37179"
40079,2023,6,1,40005
28077,2021,6,3,"28005,28113,28113"
51051,2020,2,2,"21159,51720"
49057,2024,7,2,"16071,16071"
37049,2025,6,1,37187
39031,2021,6,1,39115
51191,2023,7,1,51021
37111,2021,6,3,"37087,47171,47171"
33007,2020,5,1,50017
27005,2024,7,1,27041
08007,2025,6,6,"08023,08051,08091,08083,35028,08083"
51173,2025,5,1,37005
01045,2023,3,1,13259
16031,2022,9,1,16025
18027,2024,6,3,"18173,17033,18173"
05011,2021,4,1,22027
22085,2022,3,2,"48241,48241"
40039,2022,12,3,"40093,40093,48211"
45003,2025,5,2,"13163,13163"
51085,2023,7,3,"51036,51036,51095"
22077,2024,5,3,"22039,22107,22039"
28045,2024,5,1,28111
47143,2023,8,3,"13047,13083,13313"
20027,2025,5,4,"20089,20123,20123,31169"
48351,2021,4,2,"22003,22003"
05147,2021,6,2,"05035,05035"
51710,2022,4,2,"51735,51735"
12119,2021,2,1,12055
55005,2021,4,5,"27025,27115,27025,27163,27163"
05117,2021,5,2,"05123,05123"
19035,2024,7,4,"19151,19151,19151,31173"
19135,2025,6,5,"19101,29199,19107,19101,19107"
48381,2023,5,2,"35037,35037"
55007,2023,8,4,"55005,55107,55005,55107"
39121,2024,2,1,54073
22103,2021,12,5,"22057,22057,22093,28091,28091"
29001,2022,3,1,19185
55123,2023,5,1,55141
47003,2023,8,1,47061
08079,2022,8,1,08111
13091,2024,8,2,"13283,13283"
48213,2025,6,5,"48225,48225,48231,48231,48379"
46029,2021,8,8,"46005,46077,27073,27081,46011,27073,46011,46077"
56039,2021,8,8,"16065,16065,16065,30043,30059,56017,16007,56017"
13147,2023,7,4,"13317,13011,13011,13157"
05049,2024,11,2,"05137,05137"
47037,2023,12,3,"47117,47081,47117"
