target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips,target_zhvi_t0,baseline_mean_zhvi_t0
29149,2025,5,79,"17199,31035,29137,20133,31121,17003,19105,19101,31047,31167,38063,19055,31169,29061,31137,31129,20123,29025,31019,29111,31083,29223,31163,19087,29073,31001,19185,31065,20163,31175,19107,31125,17059,27155,17153,17185,29143,19007,31179,29199,19183,20043,27065,31093,31079,31099,31173,17081,31081,29151,17155,29063,29017,31073,17127,19115,20147,17123,17085,19097,29157,31143,31171,19045,19117,19051,31061,17159,20089,31181,31185,17087,31059,17009,17151,20183,31077,19047,20141",317055.64678951865,353947.6256154676
06089,2024,12,10,"35045,06031,06069,32033,32015,35028,06037,35003,06093,06109",525213.3283947376,626157.8072290496
25027,2022,12,18,"50013,34011,23009,25007,25019,44001,50021,09003,50019,36033,23023,50005,50009,50001,50011,36019,50003,50015",610750.6250384628,996236.3932313132
37093,2023,4,134,"01007,28125,13283,13163,28073,13021,28113,13045,13055,28099,01131,13169,13215,13139,13301,13047,28033,13125,37091,12081,13145,13171,13009,13213,28135,13013,28149,28041,13317,13263,47095,28105,28117,13079,13307,28107,47033,13097,28019,13197,28031,13311,47075,28101,13247,28123,13121,13083,37177,28111,13315,13221,13261,13053,28143,12049,28103,13195,13089,13265,13303,47167,28091,28089,13113,47023,13313,13035,47061,13279,47079,13271,13157,13153,13207,47039,28077,13235,13223,13151,28035,13193,01035,13319,28015,47109,12055,13199,13291,12027,28001,28049,28083,28063,13211,28075,13225,13175,13259,28151,13231,13281,13123,13135,13269,28065,13309,28053,13133,28079,13107,28027,28161,13167,13217,01023,13011,13295,28087,13091,28069,13293,13187,01099,13141,01013,13159,28097,28011,13233,47045,13255,13067,13209",341384.2003112745,349708.02144476236
51003,2024,9,57,"21055,21181,39075,42023,39083,42039,39085,21139,39133,39101,21219,42049,39063,51570,51580,51678,39067,39103,39147,39151,18125,21201,21225,39043,21159,39093,39153,51683,21033,39173,21097,21133,51750,21017,51610,39077,39055,18129,51735,51530,18173,39033,39123,39117,39169,18023,39143,39005,21233,51685,51670,39095,21081,39099,51630,54073,39007",940477.254886284,378631.4415549398
29089,2025,6,79,"17199,31035,29137,20133,31121,17003,19105,19101,31047,31167,38063,19055,31169,29061,31137,31129,20123,29025,31019,29111,31083,29223,31163,19087,29073,31001,19185,31065,20163,31175,19107,31125,17059,27155,17153,17185,29143,19007,31179,29199,19183,20043,27065,31093,31079,31099,31173,17081,31081,29151,17155,29063,29017,31073,17127,19115,20147,17123,17085,19097,29157,31143,31171,19045,19117,19051,31061,17159,20089,31181,31185,17087,31059,17009,17151,20183,31077,19047,20141",442198.3659442367,352842.852741291
40027,2021,6,27,"48461,22077,05035,22003,48047,22099,40035,22093,22027,48247,22047,05123,48283,48483,40029,22007,40003,48163,40033,05101,40103,22125,48507,22121,48379,22091,22107",312848.17643890117,288556.52507245494
38009,2023,7,82,"46101,20209,19093,17069,29155,27009,38081,38063,38019,29175,27117,17033,46099,27161,19079,31147,27095,27013,46023,38027,38083,19129,27151,46045,38039,19021,31089,46015,27011,29003,19143,19165,17175,29149,17035,31139,31043,38003,31173,27159,46027,19145,27173,46125,19189,29069,19035,46067,46011,19115,19059,27063,29186,19119,46127,46087,19141,46083,31003,27145,29211,31159,38029,17147,46135,38095,27041,27133,19195,19167,27081,27105,19067,27153,19149,46079,46005,29123,31091,29037,19133,46035",412846.1480621963,381603.23311886453
09005,2020,7,3,"23029,44001,50017",423587.612686802,432306.61794139777
17075,2020,8,41,"17079,29033,31011,17169,31133,31067,29195,31109,20033,19145,31167,31153,31097,27071,17083,31003,19129,17101,31025,29103,19155,19001,29117,17013,31039,19085,20043,31131,29177,29041,19165,19079,19137,19003,20005,31077,19133,31107,17035,31139,19009",217175.788521286,299825.75824358716
