stcofips,year,month,tier,month_t,deviation
06079,2021,1,mid,-1,0.06917071105068828
06079,2021,1,mid,-2,-0.2725658617831215
06079,2021,1,mid,-3,-0.6724905713404183
06081,2021,1,mid,-1,0.4148284311150121
06081,2021,1,mid,-2,0.6446175378161882
06081,2021,1,mid,-3,0.93096369112925
06081,2021,12,mid,-1,-0.15404817285472916
06081,2021,12,mid,-2,-0.10166364634559955
06081,2021,12,mid,-3,0.12435499649249948
06081,2024,12,mid,-1,-0.19858785670419365
06081,2024,12,mid,-2,-0.2039746888761016
06081,2024,12,mid,-3,0.07862119503099052
06083,2021,10,mid,-1,-0.40481049765071475
06083,2021,10,mid,-2,-0.5518312943035681
06083,2021,10,mid,-3,-0.6892297965261065
06083,2024,9,mid,-1,-0.3526247277217891
06083,2024,9,mid,-2,-0.6030572771927467
06083,2024,9,mid,-3,-0.7561183466367254
06085,2024,12,mid,-1,-0.5571880710756147
06085,2024,12,mid,-2,-1.1139309094456848
06085,2024,12,mid,-3,-1.5489698571976334
06087,2021,12,mid,-1,-0.2665009538259966
06087,2021,12,mid,-2,-0.4062388841394551
06087,2021,12,mid,-3,-0.4269317562926602
06087,2024,12,mid,-1,0.4869044758011114
06087,2024,12,mid,-2,1.015290462442806
06087,2024,12,mid,-3,1.4596428214795765
06089,2020,11,mid,-1,-0.17044274009313654
06089,2020,11,mid,-2,-0.19142211995412595
06089,2020,11,mid,-3,0.05482260712358311
06089,2021,10,mid,-1,-0.012629153999014875
06089,2021,10,mid,-2,-0.04067214239087491
06089,2021,10,mid,-3,-0.03565446757268376
06091,2020,7,mid,-1,0.16625942637206492
06091,2020,7,mid,-2,0.45081099762950316
06091,2020,7,mid,-3,0.5823307787034935
06091,2023,9,mid,-1,-0.33964895426656483
06091,2023,9,mid,-2,-0.6742334660932983
06091,2023,9,mid,-3,-1.0689881302332225
06093,2022,8,mid,-1,-0.5891509639538697
06093,2022,8,mid,-2,-0.9878694662232164
06093,2022,8,mid,-3,-0.9500131701246772
06093,2024,7,mid,-1,0.10949469185673877
06093,2024,7,mid,-2,0.031892826137465136
06093,2024,7,mid,-3,-0.02871647076898398
06097,2024,2,mid,-1,-0.061492547091759775
06097,2024,2,mid,-2,-0.022583838678443158
06097,2024,2,mid,-3,-0.06234312699400846
06097,2024,12,mid,-1,0.2568302956792934
06097,2024,12,mid,-2,0.5096755350149778
06097,2024,12,mid,-3,0.8376176452894413
06101,2021,12,mid,-1,-0.07163354890249707
06101,2021,12,mid,-2,-0.045025877110603574
06101,2021,12,mid,-3,-0.05058571110444632
06103,2021,10,mid,-1,-0.07960802319566085
06103,2021,10,mid,-2,-0.15385384448840966
06103,2021,10,mid,-3,-0.08493338899471325
06105,2020,7,mid,-1,-0.3047881980967162
06105,2020,7,mid,-2,-0.31303578793024656
06105,2020,7,mid,-3,-0.339463589986309
06105,2023,1,mid,-1,-0.03166821324145985
06105,2023,1,mid,-2,0.6152497548590503
06105,2023,1,mid,-3,1.5141954544922385
06109,2021,10,mid,-1,-0.3248934091812714
06109,2021,10,mid,-2,-0.7392334532332541
06109,2021,10,mid,-3,-1.111830782186047
06111,2021,10,mid,-1,0.2486253842980517
06111,2021,10,mid,-2,0.6255342826694346
06111,2021,10,mid,-3,1.0112269839007837
06111,2023,12,mid,-1,-0.4554727107020824
06111,2023,12,mid,-2,-0.922371962475637
06111,2023,12,mid,-3,-1.566255358914944
06115,2020,5,mid,-1,-0.027399740470272604
06115,2020,5,mid,-2,0.058156638567439245
06115,2020,5,mid,-3,0.21413275990597924
06115,2021,10,mid,-1,-0.23939799247402505
06115,2021,10,mid,-2,-0.4160528333158027
06115,2021,10,mid,-3,-0.525818830427994
06115,2023,1,mid,-1,0.5628138585037306
06115,2023,1,mid,-2,1.0520740298623963
06115,2023,1,mid,-3,1.5285825330590228
06115,2025,2,mid,-1,-0.0484464083100562
06115,2025,2,mid,-2,-0.15550878748364028
06115,2025,2,mid,-3,-0.15532112352883587
08003,2022,9,mid,-1,-1.0566898462870284
08003,2022,9,mid,-2,-1.923176799626745
08003,2022,9,mid,-3,-2.6065605453068343
08007,2020,5,mid,-1,0.3170311053471977
08007,2020,5,mid,-2,0.7184587818590416
08007,2020,5,mid,-3,1.0986873188351751
08007,2023,4,mid,-1,0.5838870171002384
08007,2023,4,mid,-2,1.3472956643343537
08007,2023,4,mid,-3,1.8934937326806534
08007,2024,7,mid,-1,0.04933777854805044
08007,2024,7,mid,-2,0.27667349936169217
08007,2024,7,mid,-3,0.5212158143421135
08011,2020,7,mid,-1,-1.9174875244058995
08011,2020,7,mid,-2,-3.2378284975174836
08011,2020,7,mid,-3,-4.297196608088441
08014,2020,6,mid,-1,0.34070847293514817
08014,2020,6,mid,-2,0.9409039115526525
08014,2020,6,mid,-3,1.5929058053273621
