target_fips,storm_year,storm_month,n_clean_neighbors,neighbor_fips
29061,2023,5,86,"19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,27173,17051,31003,46023,27153,46099,31139,29155,19035,31159,27095,46045,27063,46125,19119,29123,38083,46097,27133,38019,17159,27159,27105,46101,27011,19129,17173,27041,38003,19143,46079,20209,31091,46111,29135,19189,17023,27081,17015,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,29221,19093,46087,46027,29186,29003"
19095,2023,7,87,"31089,19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,29037,27173,31003,29211,46023,27153,46099,31139,29155,19035,31159,27095,29149,46045,27063,46125,19119,29123,38083,46097,27133,38019,27159,19067,27105,46101,27011,19129,27041,38003,19143,46079,20209,31091,46111,31183,19189,29175,27145,27081,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,19093,46087,46027,29186,29003"
13069,2020,4,12,"13017,37121,12027,47069,13059,37199,12055,13283,13281,28009,12049,45089"
54053,2024,5,45,"39151,21023,54093,21233,51600,51685,18115,21055,21033,21061,18111,18045,51735,39021,42023,51063,21201,51570,21213,51840,21219,21139,54073,39169,51678,42131,42009,42055,51790,51683,39007,39003,51640,51580,42057,51660,39103,39085,51670,51630,39123,18149,18181,39173,51530"
22003,2022,10,50,"48495,40093,48057,40053,22117,40151,40057,22083,40063,22101,40075,22007,48173,48487,22041,40043,22091,48103,05037,48321,48377,22029,05111,48071,40005,05077,48193,40019,22037,22077,22075,22121,22047,40105,05035,48127,48197,40103,40095,48297,40069,40003,05021,05123,05107,48481,22025,40029,48435,22067"
29219,2020,3,56,"19079,31127,31095,31119,31011,31097,17017,17169,31107,19145,31003,31023,29211,20043,29205,29117,31139,19009,19155,31167,31021,31027,31177,31131,31153,31109,19067,17121,27075,19085,31151,29103,31037,19137,31039,19129,31067,17079,29129,19133,31141,17129,17083,19165,31025,27071,19071,31147,20033,31133,31155,31077,17013,29033,29041,29177"
37123,2021,8,47,"28113,47083,13149,37043,28137,28045,13269,47087,37121,12027,13053,13021,37127,28091,13141,28147,13005,13309,13143,13037,13231,13279,37199,01107,13317,28057,47171,13291,12041,47097,13259,13119,28013,47039,13117,13257,37113,47109,37075,13063,28139,13265,13301,13281,28027,28141,13197"
51790,2020,8,25,"21039,18131,51600,51610,51685,18115,54021,21055,21033,51720,18075,51735,21027,21201,21005,51195,21159,21163,18135,51520,18009,21133,21143,21063,21223"
21005,2022,6,28,"18109,42077,18157,42095,51600,51610,51167,42087,51775,54049,18171,51720,51735,51595,42043,18159,51540,51678,21189,54009,42025,51520,51660,39005,42093,18119,51740,18021"
54003,2024,8,53,"39151,54093,39111,39055,21233,51600,54051,39083,51610,51685,21055,39075,21033,21017,51735,42023,51063,18173,21097,18165,21201,51570,39067,51840,21219,21139,54073,39043,39169,51678,18129,39019,54103,21225,51790,51683,39117,39007,51640,54069,51580,21181,39005,39103,39085,18125,39157,51670,51630,39123,39173,39147,51530"
08099,2021,6,36,"08021,16075,08003,16007,08033,16053,16009,16003,30023,16041,16081,30073,16047,16021,30043,30045,08105,49039,16049,08029,16065,08011,16015,08065,30089,08107,08091,08079,16017,08053,16025,16061,08019,30059,08007,08047"
48195,2022,6,54,"40093,48057,48015,22095,40053,48291,22117,48241,40133,48247,48275,22083,48217,48115,22101,40075,22007,48177,48373,40043,22091,48149,05081,05037,48321,05023,22125,48377,48431,48071,48425,05077,48489,22037,48077,22121,22047,48127,48197,40095,48155,22093,48471,48333,40003,05123,48239,48093,22057,48185,48433,22025,48435,22067"
38057,2023,4,86,"19079,46015,38081,27117,46035,27161,31103,46005,29069,27013,19167,46073,19141,19145,27173,17051,31003,46023,27153,46099,31139,29155,19035,31159,27095,46045,27063,46125,19119,29123,38083,46097,27133,38019,17159,27159,27105,46101,27011,19129,17173,27041,38003,19143,46079,20209,31091,46111,29135,19189,17023,27081,17015,46083,19133,38095,38027,19115,27151,19165,17035,17175,27009,46127,31043,31147,38063,31015,19149,19021,46135,17033,17069,17147,31173,19195,46067,46011,38029,19059,29221,19093,46087,46027,29186,29003"
17089,2024,5,79,"17199,19069,27065,19151,31103,27091,31095,31121,31011,29101,31097,17017,19145,20107,27173,31017,17005,29211,27029,27095,29075,31167,27073,27087,29083,29173,20097,38083,31085,46097,27125,17145,27079,29053,38099,27075,31115,29061,31039,38045,31073,27041,31053,31091,20123,31183,29175,31171,38089,29129,27031,38095,17151,31117,31071,27009,38031,27071,27127,38093,27149,38065,17033,29079,17069,31173,27121,20083,27023,19093,29089,17013,29033,29157,29003,29041,20141,29107,17003"
