,nri_id,stateabbrv,county,risk_value,eal_valt,sovi_score,resl_score,crf_value,year
6005,C29031,MO,Cape Girardeau,33162070.26745191,30526294.790717248,33.9900016784668,81.3499984741211,1.0863444284609403,2023
6006,C29031,MO,Cape Girardeau,60455915.10217739,68035809.08525716,20.51526718,83.52417302798982,0.88858964,2025
6007,C29033,MO,Carroll,3279054.989476771,2706389.85213,41.8604651163,56.549602,1.2115974300214245,2020
6008,C29033,MO,Carroll,3545947.670971258,2926671.5025208956,41.86046511627907,56.54960199999999,1.2115974300214245,2021
6009,C29033,MO,Carroll,5056512.484323248,4409898.111763979,31.350000381469727,77.08000183105469,1.1466279619554793,2023
6010,C29033,MO,Carroll,10967113.413806342,9445296.864437463,55.88422392,84.03307888040712,1.161118975,2025
6011,C29035,MO,Carter,3953331.850553534,2398335.61253,52.0299566417,52.427,1.648364736736395,2020
6012,C29035,MO,Carter,2722979.5406406834,1651927.8045415625,52.0299566417028,52.427,1.648364736736395,2021
6013,C29035,MO,Carter,4629070.295555196,3668953.9804853117,50.31999969482422,6.400000095367432,1.2616866606058887,2023
6014,C29035,MO,Carter,18613389.958984263,10676442.321911607,93.92493639,9.732824427480915,1.743407532,2025
6015,C29037,MO,Cass,11609137.517616004,14767313.9112,26.2120614899,56.2718,0.7861373833741873,2020
6016,C29037,MO,Cass,6742636.0576973185,8576918.233753482,26.212061489948756,56.2718,0.7861373833741873,2021
6017,C29037,MO,Cass,16559301.791347478,16555018.664995445,12.859999656677246,72.37000274658203,1.000258720720206,2023
6018,C29037,MO,Cass,35405271.80770506,44262750.24921101,12.18193384,59.223918575063614,0.799888656,2025
6019,C29039,MO,Cedar,3717999.9435463846,2398570.08268,48.1277098936,52.8658,1.5500901851457027,2020
6020,C29039,MO,Cedar,2880051.2252754467,1857989.4595002113,48.12770989357509,52.8658,1.5500901851457027,2021
6021,C29039,MO,Cedar,3880281.32805524,2951973.955058782,65.52999877929688,14.640000343322754,1.314470041785302,2023
6022,C29039,MO,Cedar,9059376.250539295,7388144.93685966,57.63358779,16.475826972010175,1.226204457,2025
6023,C29041,MO,Chariton,3650403.967451481,2706947.49089,45.4867954277,56.8016,1.3485315026377878,2020
