,nri_id,stateabbrv,county,risk_val_2025,eal_valt_2025,sovi_score_2025,resl_score_2025,crf_value_2025,risk_val_2023,eal_valt_2023,sovi_score_2023,resl_score_2023,crf_value_2023,risk_val_2021,eal_valt_2021,sovi_score_2021,resl_score_2021,crf_value_2021,risk_val_2020,eal_valt_2020,sovi_score_2020,resl_score_2020,crf_value_2020
3050,C54095,WV,Tyler,11788268.244448503,7124378.3776514875,95.54707379,45.5470737913486,1.654638148,776634.6824887425,717225.3568781991,15.880000114440918,31.829999923706055,1.082832160130435,798890.622611956,539221.8244732581,45.99921166732361,52.792602,1.4815621073801246,2317864.7180926492,1564473.54218,45.9992116673,52.792602,1.4815621073801246
3051,C54097,WV,Upshur,14802809.930737441,11640887.504494116,65.10814249,44.02035623409669,1.27162211,1037274.5329471078,872564.0001071886,60.09000015258789,36.86000061035156,1.1887661338534314,739082.0157231726,634490.1690388117,37.72171856523453,52.709398,1.164843920029221,2272423.2260492933,1950839.23861,37.7217185652,52.709398,1.164843920029221
3052,C54099,WV,Wayne,43465092.86902089,30865035.942934576,75.57251908,25.254452926208653,1.408230755,4122329.3795515997,3543574.3422833285,36.349998474121094,21.389999389648438,1.16332521385606,3706887.2317077694,2771233.983221714,42.56996452502956,53.436198000000005,1.3376305480341673,6535285.363212309,4885717.78868,42.569964525,53.436198,1.3376305480341673
3053,C54101,WV,Webster,11741145.532503167,6323429.9987737015,98.40966921,9.478371501272264,1.856768484,1508222.6589949124,1247547.2058158277,54.38999938964844,4.489999771118164,1.208950372349732,2441464.699808772,1471915.3833303624,50.29562475364604,50.036202,1.658699085191095,2718432.0379066016,1638894.0358,50.2956247536,50.036202,1.658699085191095
3054,C54103,WV,Wetzel,20008029.70783245,16153280.136669697,63.23155216,66.82569974554707,1.238635716,3097654.275349011,2885459.533727111,26.799999237060547,57.349998474121094,1.0735393233353756,3247566.760906895,2177641.575877289,46.27512810405992,52.835202,1.4913229049636298,4067716.7422780357,2727589.53057,46.2751281041,52.835202,1.4913229049636298
3055,C54105,WV,Wirt,4669576.674179645,3909281.405313623,54.67557252,21.278625954198475,1.194484661,552302.4797483823,494777.1905495445,36.060001373291016,17.309999465942383,1.1162650386832607,551846.382454209,643658.6505921525,27.039810800157664,52.3914,0.8573587598745421,1078386.414687147,1257800.66077,27.0398108002,52.3914,0.8573587598745421
3056,C54107,WV,Wood,43465939.835110396,36823279.924898565,58.61959288,88.45419847328245,1.180392945,3360296.1676448984,3234389.8153972505,37.11000061035156,82.5,1.0389273895336528,2750107.731227743,2397010.3533452195,39.77138352384706,56.32460199999999,1.1473074062403392,6770823.7543766955,5901490.4964,39.7713835238,56.324602,1.1473074062403392
3057,C54109,WV,Wyoming,27556535.73131692,18913182.308805313,76.55852417,7.410941475826973,1.457001539,3710217.8599353037,2996290.32440249,49.27000045776367,4.960000038146973,1.2382704805734013,2120234.663127662,1843503.7342472416,35.5143870713441,50.230398,1.1501114013166989,3223682.4688892383,2802930.62498,35.5143870713,50.230398,1.1501114013166989
3058,C55001,WI,Adams,30699251.18860603,19673633.167947892,86.4821883,21.85114503816794,1.560426126,4250601.084386418,3700494.9876386193,53.599998474121094,16.520000457763672,1.1486574359877286,1948975.0413701753,1396047.5605152952,41.07213243988963,49.847001999999996,1.3960663637066841,3211479.399545812,2300377.31947,41.0721324399,49.847002,1.3960663637066841
3059,C55003,WI,Ashland,10672600.774574485,8618595.803662721,63.7086514,73.1234096692112,1.238322462,811304.3717926557,729343.1229606947,51.2400016784668,73.9000015258789,1.1123768035259558,1315242.6268410208,951428.1821078646,46.78754434371305,57.420802,1.3823877109958365,1758123.9042600344,1271802.32454,46.7875443437,57.420802,1.3823877109958365
3060,C55005,WI,Barron,28945622.299472213,26309383.550749596,47.01017812,70.80152671755725,1.100201464,9436036.891653907,8269586.643995635,35.41999816894531,74.51000213623047,1.141053029356093,4961757.37660159,4552516.345877361,38.43121797398502,56.939602,1.0898933687728167,8069041.782510677,7403514.88843,38.431217974,56.939602,1.0898933687728167
3061,C55007,WI,Bayfield,11676094.868082682,9338499.17918785,65.39440204,76.7175572519084,1.250318134,937990.2218878601,944135.2056581418,10.029999732971191,73.5199966430664,0.9934914154948834,813688.2481720326,621911.8449279619,43.43713046905794,55.4534,1.3083658959193563,1837039.7082992583,1404071.83803,43.4371304691,55.4534,1.3083658959193563
3062,C55009,WI,Brown,88377255.99394102,103663488.76786594,17.46183206,94.91094147582697,0.852539858,18231768.811972514,17931382.85937081,29.190000534057617,97.19999694824219,1.0167519680415906,5012569.770458945,5797342.709040818,30.6267244777296,58.814602,0.8646323017340275,5096837.954154372,5894804.00389,30.6267244777,58.814602,0.8646323017340275
3063,C55011,WI,Buffalo,6178742.912612838,6999716.617627872,18.92493639,46.37404580152672,0.882713294,2151799.9949452705,2232429.54869283,7.829999923706055,57.130001068115234,0.9638825987611699,1777292.2461095795,1908001.652764104,31.65155695703587,55.544000000000004,0.9314940810113204,2861434.637064763,3071876.3494,31.651556957,55.544,0.9314940810113204
3064,C55013,WI,Burnett,16481344.661053235,11626426.434885496,76.68575064,28.30788804071247,1.417576136,2417908.4661576594,2063933.7050171325,20.18000030517578,34.25,1.1715049084571196,1667833.2202113743,1053117.737585933,48.994875837603466,52.280002,1.583710121562055,2806536.5178285046,1772127.66378,48.9948758376,52.280002,1.583710121562055
3065,C55015,WI,Calumet,10240671.774958564,18658703.81757393,10.62340967,99.07760814249363,0.548841542,5871010.541958249,7106965.298455463,1.2400000095367432,99.43000030517578,0.8260924734266227,1810618.5583524262,2833298.51070321,18.052818289318093,59.8454,0.6390496982624821,3844050.9963411815,6015261.42144,18.0528182893,59.8454,0.6390496982624821
